"NAZWA_WOJ";"NAZWA_POW";"NAZWA_GMI";"NAZWA_MIEJSCOWOSCI";"SYM_UL";"CECHA";"NAZWA_1";"NAZWA_2";"PASUJACA_CECHA"
"KUJAWSKO-POMORSKIE";"brodnicki";"Górzno";"Górzno";"19253";"ul.";"Rynek";"";"rynek"
"KUJAWSKO-POMORSKIE";"brodnicki";"Jabłonowo Pomorskie";"Jabłonowo Pomorskie";"19253";"ul.";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"bolesławiecki";"Bolesławiec";"Bolesławiec";"19252";"";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"bolesławiecki";"Nowogrodziec";"Nowogrodziec";"19252";"";"Rynek";"";"rynek"
"ŁÓDZKIE";"sieradzki";"Brzeźnio";"Brzeźnio";"32898";"ul.";"al. 3 Maja";"";"al."
"DOLNOŚLĄSKIE";"dzierżoniowski";"Niemcza";"Niemcza";"19252";"";"Rynek";"";"rynek"
"ŁÓDZKIE";"sieradzki";"Sieradz";"Sieradz";"30776";"ul.";"Droga Brzezińska";"";"droga"
"ŁÓDZKIE";"wieluński";"Konopnica";"Konopnica";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"tomaszowski";"Tomaszów Lubelski";"Łaszczówka";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"tomaszowski";"Tyszowce";"Tyszowce";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"włodawski";"Włodawa";"Włodawa";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"zamojski";"Grabowiec";"Grabowiec";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"zamojski";"Komarów-Osada";"Komarów-Osada";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"zamojski";"Krasnobród";"Krasnobród";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"zamojski";"Skierbieszów";"Skierbieszów";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"zamojski";"Zwierzyniec";"Zwierzyniec";"19251";"pl.";"Rynek";"";"rynek"
"LUBELSKIE";"Chełm";"Chełm";"Chełm";"27743";"ul.";"Droga Męczenników";"";"droga"
"DOLNOŚLĄSKIE";"jaworski";"Jawor";"Jawor";"19252";"";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"jaworski";"Bolków";"Bolków";"19252";"";"Rynek";"";"rynek"
"KUJAWSKO-POMORSKIE";"bydgoski";"Koronowo";"Koronowo";"04208";"ul.";"Droga do Różanny";"";"droga"
"DOLNOŚLĄSKIE";"karkonoski";"Podgórzyn";"Przesieka";"04221";"ul.";"Droga Liczyrzepy";"";"droga"
"KUJAWSKO-POMORSKIE";"chełmiński";"Chełmno";"Chełmno";"19253";"ul.";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"kłodzki";"Duszniki-Zdrój";"Duszniki-Zdrój";"19252";"";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"trzebnicki";"Prusice";"Prusice";"19252";"";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"trzebnicki";"Prusice";"Strupina";"19252";"";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"trzebnicki";"Trzebnica";"Trzebnica";"19252";"";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"wołowski";"Brzeg Dolny";"Brzeg Dolny";"19252";"";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"wołowski";"Wołów";"Wołów";"19252";"";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"karkonoski";"Podgórzyn";"Przesieka";"04210";"ul.";"Droga do Wodospadu";"";"droga"
"KUJAWSKO-POMORSKIE";"Grudziądz";"Grudziądz";"Grudziądz";"19253";"ul.";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"chrzanowski";"Chrzanów";"Chrzanów";"19252";"";"Rynek";"";"rynek"
