TC_ID;KATEGORIA;PRIORYTET;OPIS;REQUEST_streetName;REQUEST_buildingNumber;REQUEST_city;REQUEST_postalCode;EXPECTED_streetName;EXPECTED_buildingNumber;EXPECTED_city;EXPECTED_postalCode;EXPECTED_province;EXPECTED_district;EXPECTED_commune;EXPECTED_streetProbability;EXPECTED_cityProbability;EXPECTED_postalCodeProbability;EXPECTED_combinedProbability;UWAGI;RYZYKO_BLEDU
TC-001;Błędne dopasowanie;High;Tylko ulica może prowadzić do błędnego dopasowania;Lipowa;;;;null;null;null;null;null;null;null;<0.3;;false;NotVerified;;
TC-002;Błędne dopasowanie;High;Puste wszystkie pola może prowadzić do błędnego dopasowania;null;null;null;null;null;null;null;null;null;null;null;0;0;0;0;Puste pola - może dopasować do domyślnego adresu;RYZYKO: Może przypisać do domyślnego lub pierwszego znalezionego adresu
TC-003;Błędne dopasowanie;High;Gorzów Wielkopolski - Sybiraków vs Sybiraków (różnica w pisowni);Sybiraków;;Gorzów Wielkopolski;66-400;rondo Sybiraków;;Gorzów Wielkopolski;66-400;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Gorzów: rondo Sybiraków vs ul. Sybiraków (różnica w pisowni);RYZYKO: Może dopasować do złego wariantu z powodu różnicy w pisowni
TC-004;Błędne dopasowanie;High;NAZWA_2 może być źle dopasowana;Moniuszki;;Brodnica;87-300;ul. Moniuszki Stanisława;;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;>0.9;>0.95;>0.9;>0.9;Moniuszki bez imienia - może dopasować do innej ulicy Moniuszki;"RYZYKO: Może dopasować do ""Moniuszki"" z innym imieniem lub bez imienia"
TC-005;Błędne dopasowanie;High;Różne warianty NAZWA_2 mogą być źle dopasowane;Hubala;;Tomaszów Mazowiecki;97-200;os. Hubala mjr;;Tomaszów Mazowiecki;97-200;ŁÓDZKIE;tomaszowski;Tomaszów Mazowiecki;<0.7;<0.7;<0.7;<0.7;"Hubala mjr vs ""Hubala mjra"" - może dopasować do złego wariantu";RYZYKO: Może dopasować do os. Hubala mjr. zamiast ul. Hubala mjra lub odwrotnie
TC-006;Błędne dopasowanie;High;Gorzów Wielkopolski - Piłsudskiego z różnymi NAZWA_2;Piłsudskiego;;Gorzów Wielkopolski;66-400;ul. Piłsudskiego marsz. Józefa;;Gorzów Wielkopolski;66-400;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Gorzów: ul. vs rondo Piłsudskiego z różnymi NAZWA_2;RYZYKO: Może dopasować do złego wariantu NAZWA_2
TC-007;Błędne dopasowanie;High;Gorzów Wielkopolski - Wyszyńskiego z różnymi NAZWA_2;Wyszyńskiego;;Gorzów Wielkopolski;66-400;ul. Wyszyńskiego kard. Stefana;;Gorzów Wielkopolski;66-400;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Gorzów: ul. vs rondo Wyszyńskiego z różnymi NAZWA_2;RYZYKO: Może dopasować do złego wariantu NAZWA_2
TC-008;Błędne dopasowanie;High;Gorzów Wielkopolski - Kasprzaka z różnymi NAZWA_2;Kasprzaka;;Gorzów Wielkopolski;66-400;rondo Kasprzaka Marcina;;Gorzów Wielkopolski;66-400;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Gorzów: ul. vs rondo Kasprzaka z różnymi NAZWA_2;RYZYKO: Może dopasować do złego wariantu NAZWA_2
TC-009;Błędne dopasowanie;High;Gorzów Wielkopolski - Jerzego z różnymi NAZWA_2;Jerzego;;Gorzów Wielkopolski;66-400;rondo Jerzego Świętego;;Gorzów Wielkopolski;66-400;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Gorzów: ul. vs rondo Jerzego z różnymi NAZWA_2;RYZYKO: Może dopasować do złego wariantu NAZWA_2
TC-010;Błędne dopasowanie;High;Zielona Góra - Sowińskiego z różnymi NAZWA_2;Sowińskiego;;Zielona Góra;65-001;ul. Sowińskiego Generała Józefa;;Zielona Góra;65-001;LUBUSKIE;Zielona Góra;Zielona Góra;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Zielona Góra: park vs ul. Sowińskiego z różnymi NAZWA_2;RYZYKO: Może dopasować do złego wariantu NAZWA_2
