TC_ID;KATEGORIA;PRIORYTET;OPIS;REQUEST_streetName;REQUEST_buildingNumber;REQUEST_city;REQUEST_postalCode;EXPECTED_streetName;EXPECTED_buildingNumber;EXPECTED_city;EXPECTED_postalCode;EXPECTED_province;EXPECTED_district;EXPECTED_commune;EXPECTED_streetProbability;EXPECTED_cityProbability;EXPECTED_postalCodeProbability;EXPECTED_combinedProbability;EXPECTED_postOfficeLocation;EXPECTED_isMultiFamily;EXPECTED_VerificationStatus;UWAGI;RYZYKO_BLEDU
TC-051;Błędne dopasowanie - popularna ulica;Highest;Lipowa w wielu miastach - ryzyko przypisania do złego miasta;Lipowa;;Brodnica;87-300;Lipowa;;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;>0.9;>0.9;>0.9;>0.9;;false;Verified;Ulica Lipowa występuje w 19+ miejscowościach - ryzyko przypisania do innego miasta;RYZYKO: Może przypisać do Bolesławca, Zakrzewa lub innego miasta z ul. Lipową
TC-052;Błędne dopasowanie - popularna ulica;Highest;Długa w wielu miastach - ryzyko przypisania do złego miasta;Długa;;Brodnica;87-300;Długa;;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;>0.9;>0.9;>0.9;>0.9;;false;Verified;Ulica Długa występuje w 19+ miejscowościach - ryzyko przypisania do innego miasta;RYZYKO: Może przypisać do Głogowa, Dzierżoniowa lub innego miasta
TC-053;Błędne dopasowanie - popularna ulica;Highest;Polna w wielu miastach - ryzyko przypisania do złego miasta;Polna;;Bolesławiec;;Polna;;Bolesławiec;;DOLNOŚLĄSKIE;bolesławiecki;Bolesławiec;>0.9;>0.9;>0.8;>0.9;;false;Verified;Ulica Polna występuje w 19+ miejscowościach - ryzyko przypisania do innego miasta;RYZYKO: Może przypisać do Gromadki, Trzebienia lub innego miasta
TC-054;Błędne dopasowanie - podobne miasta;Highest;Podobne nazwy - Bolesławiec vs Bolesławice;Lipowa;;Bolesławiec;;Lipowa;;Bolesławiec;;DOLNOŚLĄSKIE;bolesławiecki;Bolesławiec;>0.9;>0.9;>0.8;>0.9;;false;Verified;Ryzyko przypisania do Bolesławic (jeśli istnieje) zamiast Bolesławca;RYZYKO: Może przypisać do miasta o podobnej nazwie
TC-055;Błędne dopasowanie - podobne miasta;High;Podobne nazwy - Zakrzewo vs Zakrzew;Kujawska;;Zakrzewo;87-700;Kujawska;;Zakrzewo;87-700;KUJAWSKO-POMORSKIE;aleksandrowski;Zakrzewo;>0.9;>0.9;>0.9;>0.9;;false;Verified;Ryzyko przypisania do Zakrzewa (bez 'o') jeśli istnieje;RYZYKO: Może przypisać do miasta o podobnej nazwie
TC-056;Błędne dopasowanie - błąd w pisowni;Highest;Błąd w pisowni miasta - może dopasować do złego;Lipowa;;Brodnic;87-300;Lipowa;;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;>0.85;>0.85;>0.8;>0.85;;false;Verified;Brak 'a' w nazwie - może dopasować do innego miasta;RYZYKO: Może dopasować do miasta zaczynającego się na "Brodnic"
TC-057;Błędne dopasowanie - błąd w pisowni;High;Błąd w pisowni ulicy - może dopasować do złej;Lipow;15;Brodnica;87-300;Lipowa;15;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;>0.85;>0.85;>0.8;>0.85;;false;Verified;Brak 'a' w nazwie ulicy - może dopasować do innej ulicy;RYZYKO: Może dopasować do ulicy "Lipow" jeśli istnieje
TC-058;Błędne dopasowanie - błąd w pisowni;High;Błąd w pisowni - może dopasować do podobnej ulicy;Marszałkowska;;Warszawa;00-001;Marszałkowska;;Warszawa;00-001;MAZOWIECKIE;Warszawa;Warszawa;>0.9;>0.95;>0.9;>0.9;;false;Verified;Może dopasować do "Marszałkowska" zamiast "Marszałkowska" (różnica w literze);RYZYKO: Może przypisać do ulicy o bardzo podobnej nazwie
TC-059;Błędne dopasowanie - kod pocztowy;Highest;Podobny kod pocztowy - może przypisać do innego miasta;Lipowa;;Brodnica;87-301;Lipowa;;Brodnica;87-301;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;>0.9;>0.9;>0.7;>0.8;;false;InVerification;Kod 87-301 vs 87-300 - może przypisać do innego miasta z podobnym kodem;RYZYKO: Może przypisać do miasta z kodem 87-301 jeśli istnieje
TC-060;Błędne dopasowanie - kod pocztowy;High;Błędny kod pocztowy - może przypisać do innego miasta;Lipowa;;Brodnica;20-001;Lipowa;;Brodnica;20-001;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;<0.5;>0.9;<0.3;<0.5;;false;InVerification;Kod 20-001 (Warszawa) vs 87-300 (Brodnica) - może przypisać do Warszawy;RYZYKO: Może przypisać do Warszawy zamiast Brodnicy
TC-061;Błędne dopasowanie - wieloznaczność;Highest;Automatyczne rozstrzygnięcie wieloznaczności - może wybrać złe;Żwirki i Wigury;;Chełm;;Żwirki i Wigury;;Chełm;;LUBELSKIE;Chełm;Chełm;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Wieloznaczność ul. vs pl. - automatyczne wybór może być błędny;RYZYKO: Może automatycznie wybrać ul. zamiast pl. lub odwrotnie
TC-062;Błędne dopasowanie - wieloznaczność;Highest;Automatyczne rozstrzygnięcie - może wybrać złe województwo;Lipowa;;Dąbrowa;;Lipowa;;Dąbrowa;;null;null;null;<0.5;<0.5;<0.5;<0.5;;false;InVerification;Wieloznaczność Dąbrowa w 2 województwach - automatyczny wybór może być błędny;RYZYKO: Może wybrać OPOLSKIE zamiast KUJAWSKO-POMORSKIE lub odwrotnie
TC-063;Błędne dopasowanie - skróty;High;Skrót może być źle rozszyfrowany;PCK;;Brodnica;87-300;PCK;;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;>0.9;>0.95;>0.9;>0.9;;false;Verified;Skrót PCK - może być źle rozszyfrowany jako inna ulica;RYZYKO: Może dopasować do ulicy zawierającej "PCK" w innej formie
TC-064;Błędne dopasowanie - skróty;High;Skrót ul. może być źle zinterpretowany;ul. Marszałkowska;;Warszawa;00-001;Marszałkowska;;Warszawa;00-001;MAZOWIECKIE;Warszawa;Warszawa;>0.9;>0.95;>0.9;>0.9;;false;Verified;"ul." w nazwie ulicy - może być źle zinterpretowane;RYZYKO: Może traktować "ul." jako część nazwy zamiast cechy
TC-065;Błędne dopasowanie - nazwy z liczbami;High;Nazwa z liczbą może być źle zinterpretowana;700-lecia;;Brodnica;87-300;700-lecia;;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;>0.9;>0.95;>0.9;>0.9;;false;Verified;Nazwa "700-lecia" - może być źle zinterpretowana jako data lub numer;RYZYKO: Może dopasować do ulicy "700" lub "lecia" osobno
