TC_ID;KATEGORIA;PRIORYTET;OPIS;REQUEST_streetName;REQUEST_buildingNumber;REQUEST_city;REQUEST_postalCode;EXPECTED_streetName;EXPECTED_buildingNumber;EXPECTED_city;EXPECTED_postalCode;EXPECTED_province;EXPECTED_district;EXPECTED_commune;EXPECTED_streetProbability;EXPECTED_cityProbability;EXPECTED_postalCodeProbability;EXPECTED_combinedProbability;EXPECTED_postOfficeLocation;EXPECTED_isMultiFamily;EXPECTED_VerificationStatus;UWAGI;RYZYKO_BLEDU
TC-401;Błędna kombinacja - ulica z wieloma kodami;Highest;Ulica z wieloma kodami - podano poprawną ulicę, ale kod z innej części ulicy;Marszałkowska;15;Warszawa;00-002;Marszałkowska;15;Warszawa;00-002;MAZOWIECKIE;Warszawa;Warszawa;<0.5;>0.95;>0.8;<0.6;;false;InVerification;Ulica Marszałkowska może mieć wiele kodów - kod 00-002 może być dla innej części ulicy;RYZYKO: Może przypisać do innej części ulicy jeśli numer nie pasuje do kodu
TC-402;Błędna kombinacja - ulica z wieloma kodami;Highest;Ulica z wieloma kodami - podano poprawną ulicę, ale kod z innej części ulicy;Długa;25;Brodnica;87-301;Długa;25;Brodnica;87-301;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;<0.5;>0.95;>0.8;<0.6;;false;InVerification;Ulica Długa może mieć wiele kodów - kod 87-301 może być dla innej części ulicy;RYZYKO: Może przypisać do innej części ulicy jeśli numer nie pasuje do kodu
TC-403;Błędna kombinacja - ulica z wieloma kodami;Highest;Ulica z wieloma kodami - podano poprawną ulicę, ale kod z innej części ulicy;Lipowa;10;Brodnica;87-301;Lipowa;10;Brodnica;87-301;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;<0.5;>0.95;>0.8;<0.6;;false;InVerification;Ulica Lipowa może mieć wiele kodów - kod 87-301 może być dla innej części ulicy;RYZYKO: Może przypisać do innej części ulicy jeśli numer nie pasuje do kodu
TC-404;Błędna kombinacja - ulica z wieloma kodami;Highest;Ulica z wieloma kodami - podano poprawną ulicę, ale kod z innej części ulicy;Kujawska;5;Zakrzewo;87-701;Kujawska;5;Zakrzewo;87-701;KUJAWSKO-POMORSKIE;aleksandrowski;Zakrzewo;<0.5;>0.95;>0.8;<0.6;;false;InVerification;Ulica Kujawska może mieć wiele kodów - kod 87-701 może być dla innej części ulicy;RYZYKO: Może przypisać do innej części ulicy jeśli numer nie pasuje do kodu
TC-405;Błędna kombinacja - ulica z wieloma kodami;Highest;Ulica z wieloma kodami - podano poprawną ulicę, ale kod z innej części ulicy;Jana Pawła II;17;Lublin;20-539;Jana Pawła II;17;Lublin;20-539;LUBELSKIE;Lublin;Lublin;<0.5;>0.95;>0.8;<0.6;;false;InVerification;Ulica Jana Pawła II może mieć wiele kodów - kod 20-539 może być dla innej części ulicy;RYZYKO: Może przypisać do innej części ulicy jeśli numer nie pasuje do kodu
TC-406;Błędna kombinacja - numer poza zakresem;Highest;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Dmowskiego;200;Lublin;20-001;Dmowskiego;200;Lublin;20-001;LUBELSKIE;Lublin;Lublin;<0.3;>0.95;>0.9;<0.4;;false;InVerification;Numer 200 poza zakresem dla ul. Dmowskiego - może być dla rondo Dmowskiego;RYZYKO: Może przypisać do rondo Dmowskiego jeśli numer nie pasuje do ulicy
TC-407;Błędna kombinacja - numer poza zakresem;Highest;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Grobla;300;Gorzów Wielkopolski;66-400;Grobla;300;Gorzów Wielkopolski;66-400;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;<0.3;>0.95;>0.9;<0.4;;false;InVerification;Numer 300 poza zakresem dla ul. Grobla - może być dla rondo Grobla;RYZYKO: Może przypisać do rondo Grobla jeśli numer nie pasuje do ulicy
TC-408;Błędna kombinacja - numer poza zakresem;Highest;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Kasprowicza;150;Inowrocław;88-100;Kasprowicza;150;Inowrocław;88-100;KUJAWSKO-POMORSKIE;inowrocławski;Inowrocław;<0.3;>0.95;>0.9;<0.4;;false;InVerification;Numer 150 poza zakresem dla ul. Kasprowicza - może być dla pl. Kasprowicza;RYZYKO: Może przypisać do pl. Kasprowicza jeśli numer nie pasuje do ulicy
TC-409;Błędna kombinacja - numer poza zakresem;Highest;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Górna;250;Tomaszów Mazowiecki;97-200;Górna;250;Tomaszów Mazowiecki;97-200;ŁÓDZKIE;tomaszowski;Tomaszów Mazowiecki;<0.3;>0.95;>0.9;<0.4;;false;InVerification;Numer 250 poza zakresem dla ul. Górna - może być dla os. Górna;RYZYKO: Może przypisać do os. Górna jeśli numer nie pasuje do ulicy
TC-410;Błędna kombinacja - numer poza zakresem;Highest;Poprawna ulica i kod, ale numer poza zakresem - może być dla innej cechy;Strzelecka;180;Tomaszów Mazowiecki;97-200;Strzelecka;180;Tomaszów Mazowiecki;97-200;ŁÓDZKIE;tomaszowski;Tomaszów Mazowiecki;<0.3;>0.95;>0.9;<0.4;;false;InVerification;Numer 180 poza zakresem dla ul. Strzelecka - może być dla os. Strzelecka;RYZYKO: Może przypisać do os. Strzelecka jeśli numer nie pasuje do ulicy
