TC_ID;KATEGORIA;PRIORYTET;OPIS;REQUEST_streetName;REQUEST_buildingNumber;REQUEST_city;REQUEST_postalCode;EXPECTED_streetName;EXPECTED_buildingNumber;EXPECTED_city;EXPECTED_postalCode;EXPECTED_province;EXPECTED_district;EXPECTED_commune;EXPECTED_streetProbability;EXPECTED_cityProbability;EXPECTED_postalCodeProbability;EXPECTED_combinedProbability;EXPECTED_postOfficeLocation;EXPECTED_isMultiFamily;EXPECTED_VerificationStatus;UWAGI;RYZYKO_BLEDU
TC-101;Błędne dopasowanie - bardzo popularna ulica;Highest;Leśna - najpopularniejsza ulica (3670 wystąpień w 3393 miejscowościach);Leśna;;Brodnica;;Leśna;;Brodnica;;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;>0.9;>0.9;>0.8;>0.9;;false;Verified;Ulica Leśna występuje w 3393 miejscowościach - bardzo wysokie ryzyko przypisania do złego miasta;RYZYKO: Może przypisać do jednego z 3392 innych miast z ul. Leśną
TC-102;Błędne dopasowanie - bardzo popularna ulica;Highest;Polna - druga najpopularniejsza (3553 wystąpień w 3320 miejscowościach);Polna;;Bolesławiec;;Polna;;Bolesławiec;;DOLNOŚLĄSKIE;bolesławiecki;Bolesławiec;>0.9;>0.9;>0.8;>0.9;;false;Verified;Ulica Polna występuje w 3320 miejscowościach - bardzo wysokie ryzyko przypisania do złego miasta;RYZYKO: Może przypisać do jednego z 3319 innych miast z ul. Polną
TC-103;Błędne dopasowanie - bardzo popularna ulica;Highest;Słoneczna - trzecia najpopularniejsza (3149 wystąpień w 2959 miejscowościach);Słoneczna;;Brodnica;;Słoneczna;;Brodnica;;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;>0.9;>0.9;>0.8;>0.9;;false;Verified;Ulica Słoneczna występuje w 2959 miejscowościach - bardzo wysokie ryzyko przypisania do złego miasta;RYZYKO: Może przypisać do jednego z 2958 innych miast z ul. Słoneczną
TC-104;Błędne dopasowanie - bardzo popularna ulica;Highest;Krótka - czwarta najpopularniejsza (2575 wystąpień w 2445 miejscowościach);Krótka;;Brodnica;;Krótka;;Brodnica;;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;>0.9;>0.9;>0.8;>0.9;;false;Verified;Ulica Krótka występuje w 2445 miejscowościach - bardzo wysokie ryzyko przypisania do złego miasta;RYZYKO: Może przypisać do jednego z 2444 innych miast z ul. Krótką
TC-105;Błędne dopasowanie - bardzo popularna ulica;Highest;Ogrodowa - piąta najpopularniejsza (2447 wystąpień w 2333 miejscowościach);Ogrodowa;;Brodnica;;Ogrodowa;;Brodnica;;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;>0.9;>0.9;>0.8;>0.9;;false;Verified;Ulica Ogrodowa występuje w 2333 miejscowościach - bardzo wysokie ryzyko przypisania do złego miasta;RYZYKO: Może przypisać do jednego z 2332 innych miast z ul. Ogrodową
TC-106;Wieloznaczność - duże miasto;Highest;Łódź - 50 przypadków wieloznaczności, 21 unikalnych nazw;Broniewskiego;;Łowicz;;Broniewskiego;;Łowicz;;ŁÓDZKIE;łowicki;Łowicz;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Łódź ma 50 przypadków wieloznaczności;RYZYKO: W mieście z wieloma wieloznacznościami łatwo o błąd
TC-107;Wieloznaczność - duże miasto;Highest;Poznań - 50 przypadków wieloznaczności, 24 unikalnych nazw;null;;Poznań;;null;;Poznań;;WIELKOPOLSKIE;Poznań;Poznań;0;>0.9;0;<0.5;;false;PartiallyVerified;Dane z powtorzenia - Poznań ma 50 przypadków wieloznaczności;RYZYKO: W mieście z wieloma wieloznacznościami łatwo o błąd
TC-108;Wieloznaczność - duże miasto;Highest;Wrocław - 34 przypadki wieloznaczności, 15 unikalnych nazw;null;;Wrocław;;null;;Wrocław;;DOLNOŚLĄSKIE;Wrocław;Wrocław;0;>0.9;0;<0.5;;false;PartiallyVerified;Dane z powtorzenia - Wrocław ma 34 przypadki wieloznaczności;RYZYKO: W mieście z wieloma wieloznacznościami łatwo o błąd
TC-109;Wieloznaczność - kombinacje cech;Highest;Gorzów Wielkopolski - 16 przypadków, różne kombinacje cech;Grobla;;Gorzów Wielkopolski;;Grobla;;Gorzów Wielkopolski;;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Gorzów: ul. vs rondo Grobla;RYZYKO: Może automatycznie wybrać złą cechę
TC-110;Wieloznaczność - kombinacje cech;Highest;Gorzów Wielkopolski - Niepodległości ul. vs rondo;Niepodległości;;Gorzów Wielkopolski;;Niepodległości;;Gorzów Wielkopolski;;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Gorzów: ul. vs rondo Niepodległości;RYZYKO: Może automatycznie wybrać złą cechę
TC-111;Wieloznaczność - kombinacje cech;Highest;Gorzów Wielkopolski - Piłsudskiego ul. vs rondo;Piłsudskiego;;Gorzów Wielkopolski;;Piłsudskiego;marsz. Józefa;Gorzów Wielkopolski;;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Gorzów: ul. vs rondo Piłsudskiego;RYZYKO: Może automatycznie wybrać złą cechę
TC-112;Wieloznaczność - kombinacje cech;Highest;Gorzów Wielkopolski - Wyszyńskiego ul. vs rondo;Wyszyńskiego;;Gorzów Wielkopolski;;Wyszyńskiego;kard. Stefana;Gorzów Wielkopolski;;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Gorzów: ul. vs rondo Wyszyńskiego;RYZYKO: Może automatycznie wybrać złą cechę
TC-113;Wieloznaczność - kombinacje cech;Highest;Zielona Góra - Sowińskiego park vs ul.;Sowińskiego;;Zielona Góra;;Sowińskiego;Generała Józefa;Zielona Góra;;LUBUSKIE;Zielona Góra;Zielona Góra;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Zielona Góra: park vs ul. Sowińskiego;RYZYKO: Może automatycznie wybrać złą cechę
TC-114;Wieloznaczność - kombinacje cech;Highest;Zielona Góra - Stefana Batorego ul. vs rondo;Stefana Batorego;;Zielona Góra;;Stefana Batorego;;Zielona Góra;;LUBUSKIE;Zielona Góra;Zielona Góra;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Zielona Góra: ul. vs rondo Stefana Batorego;RYZYKO: Może automatycznie wybrać złą cechę
TC-115;Wieloznaczność - kombinacje cech;Highest;Włocławek - Sienkiewicza park vs ul.;Sienkiewicza;;Włocławek;;Sienkiewicza;Henryka;Włocławek;;KUJAWSKO-POMORSKIE;Włocławek;Włocławek;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Włocławek: park vs ul. Sienkiewicza;RYZYKO: Może automatycznie wybrać złą cechę
TC-116;Wieloznaczność - kombinacje cech;Highest;Nowy Targ - Jana Pawła II ul. vs rondo;Jana Pawła II;;Nowy Targ;;Jana Pawła II;;Nowy Targ;;MAŁOPOLSKIE;nowotarski;Nowy Targ;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Nowy Targ: ul. vs rondo Jana Pawła II;RYZYKO: Może automatycznie wybrać złą cechę
TC-117;Wieloznaczność - kombinacje cech;Highest;Nowy Targ - Krasińskiego pl. vs ul.;Krasińskiego;;Nowy Targ;;Krasińskiego;Zygmunta;Nowy Targ;;MAŁOPOLSKIE;nowotarski;Nowy Targ;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Nowy Targ: pl. vs ul. Krasińskiego;RYZYKO: Może automatycznie wybrać złą cechę
TC-118;Wieloznaczność - kombinacje cech;Highest;Pruszków - Kościuszki park vs ul.;Kościuszki;;Pruszków;;Kościuszki;Tadeusza;Pruszków;;MAZOWIECKIE;pruszkowski;Pruszków;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Pruszków: park vs ul. Kościuszki;RYZYKO: Może automatycznie wybrać złą cechę
TC-119;Wieloznaczność - kombinacje cech;Highest;Łowicz - Broniewskiego os. vs ul.;Broniewskiego;;Łowicz;;Broniewskiego;Władysława;Łowicz;;ŁÓDZKIE;łowicki;Łowicz;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Łowicz: os. vs ul. Broniewskiego;RYZYKO: Może automatycznie wybrać złą cechę
TC-120;Wieloznaczność - kombinacje cech;Highest;Łowicz - Konopnickiej os. vs ul.;Konopnickiej;;Łowicz;;Konopnickiej;Marii;Łowicz;;ŁÓDZKIE;łowicki;Łowicz;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Łowicz: os. vs ul. Konopnickiej;RYZYKO: Może automatycznie wybrać złą cechę
TC-121;Wieloznaczność - kombinacje cech;Highest;Łowicz - Tkaczew os. vs ul.;Tkaczew;;Łowicz;;Tkaczew;;Łowicz;;ŁÓDZKIE;łowicki;Łowicz;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Łowicz: os. vs ul. Tkaczew;RYZYKO: Może automatycznie wybrać złą cechę
