TC_ID;KATEGORIA;PRIORYTET;OPIS;REQUEST_streetName;REQUEST_buildingNumber;REQUEST_city;REQUEST_postalCode;EXPECTED_streetName;EXPECTED_buildingNumber;EXPECTED_city;EXPECTED_postalCode;EXPECTED_province;EXPECTED_district;EXPECTED_commune;EXPECTED_streetProbability;EXPECTED_cityProbability;EXPECTED_postalCodeProbability;EXPECTED_combinedProbability;EXPECTED_postOfficeLocation;EXPECTED_isMultiFamily;EXPECTED_VerificationStatus;UWAGI;RYZYKO_BLEDU
TC-251;Wieloznaczność - Wrocław 3+ warianty;Highest;Wrocław - Kościuszki w 3 wariantach (ul., pl., ul.) w różnych delegaturach;Kościuszki;;Wrocław;;Kościuszki;Tadeusza;Wrocław;;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;<0.7;<0.5;<0.5;;false;InVerification;Dane z powtorzenia - Wrocław: ul. w Krzyki i Stare Miasto, pl. w Stare Miasto;RYZYKO: Może przypisać do złej delegatury (Krzyki vs Stare Miasto) i/lub wybrać złą cechę
TC-252;Wieloznaczność - Wrocław 3+ warianty;Highest;Wrocław - Słowackiego w 3 wariantach (wyb., al., al.) w różnych delegaturach;Słowackiego;;Wrocław;;Słowackiego;Juliusza;Wrocław;;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;<0.7;<0.5;<0.5;;false;InVerification;Dane z powtorzenia - Wrocław: wyb. w Krzyki, al. w Krzyki i Stare Miasto;RYZYKO: Może przypisać do złej delegatury (Krzyki vs Stare Miasto) i/lub wybrać złą cechę
TC-253;Wieloznaczność - Wrocław 3+ warianty;Highest;Wrocław - Piłsudskiego w 3 wariantach (ul., pl., ul.) w różnych delegaturach;Piłsudskiego;;Wrocław;;Piłsudskiego;marsz. Józefa;Wrocław;;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;<0.7;<0.5;<0.5;;false;InVerification;Dane z powtorzenia - Wrocław: ul. w Krzyki i Stare Miasto, pl. w Psie Pole;RYZYKO: Może przypisać do złej delegatury (Krzyki vs Stare Miasto vs Psie Pole) i/lub wybrać złą cechę
TC-254;Wieloznaczność - Wrocław 3+ warianty;Highest;Wrocław - Zielińskiego w 3 wariantach (ul., ul., skwer) z różnymi NAZWA_2;Zielińskiego;;Wrocław;;Zielińskiego;Tadeusza;Wrocław;;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;<0.7;<0.5;<0.5;;false;InVerification;Dane z powtorzenia - Wrocław: ul. Tadeusza w Krzyki i Stare Miasto, skwer ks. Szczepana w Fabryczna;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę i/lub zły wariant NAZWA_2
TC-255;Wieloznaczność - Wrocław 3+ warianty;High;Wrocław - Wróblewskiego pl. vs ul. z różnymi NAZWA_2;Wróblewskiego;;Wrocław;;Wróblewskiego;gen. Walerego;Wrocław;;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Wrocław: pl. gen. Walerego vs ul. Zygmunta w różnych delegaturach;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę i/lub zły wariant NAZWA_2
TC-256;Wieloznaczność - Wrocław 3+ warianty;High;Wrocław - Pereca pl. vs ul. z długim NAZWA_2;Pereca;;Wrocław;;Pereca;Icchaka Lejba;Wrocław;;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Wrocław: pl. vs ul. Pereca z długim NAZWA_2;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę
TC-257;Wieloznaczność - Wrocław 3+ warianty;High;Wrocław - Rysia ul. vs skwer z różnymi NAZWA_2;Rysia;;Wrocław;;Rysia;Zbigniewa;Wrocław;;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Wrocław: ul. bez NAZWA_2 vs skwer Zbigniewa w różnych delegaturach;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę
TC-258;Wieloznaczność - Wrocław 3+ warianty;High;Wrocław - Rędzińska ul. vs wyspa;Rędzińska;;Wrocław;;Rędzińska;;Wrocław;;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Wrocław: ul. vs wyspa Rędzińska w różnych delegaturach;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę
TC-259;Wieloznaczność - Wrocław 3+ warianty;High;Wrocław - Korfantego ul. vs skwer;Korfantego;;Wrocław;;Korfantego;Wojciecha;Wrocław;;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Wrocław: ul. vs skwer Korfantego;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę
TC-260;Wieloznaczność - Wrocław 3+ warianty;High;Wrocław - Powstańców Śląskich ul. vs pl.;Powstańców Śląskich;;Wrocław;;Powstańców Śląskich;;Wrocław;;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Wrocław: ul. vs pl. Powstańców Śląskich;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę
TC-261;Wieloznaczność - Wrocław 3+ warianty;High;Wrocław - Mikołaja pl. vs ul. z NAZWA_2;Mikołaja;;Wrocław;;Mikołaja;św.;Wrocław;;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Wrocław: pl. vs ul. Mikołaja św.;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę
TC-262;Wieloznaczność - Wrocław 3+ warianty;High;Wrocław - Bema ul. vs pl. z NAZWA_2;Bema;;Wrocław;;Bema;gen. Józefa;Wrocław;;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Wrocław: ul. vs pl. Bema gen. Józefa;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę
TC-263;Wieloznaczność - Wrocław 3+ warianty;High;Wrocław - Opatowicka ul. vs wyspa;Opatowicka;;Wrocław;;Opatowicka;;Wrocław;;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Wrocław: ul. vs wyspa Opatowicka;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę
TC-264;Wieloznaczność - Wrocław 3+ warianty;High;Wrocław - Schneidera ul. vs skwer z NAZWA_2;Schneidera;;Wrocław;;Schneidera;ks. Jana;Wrocław;;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Wrocław: ul. vs skwer Schneidera ks. Jana;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę
TC-265;Wieloznaczność - Wrocław 3+ warianty;High;Wrocław - Kajdasza ul. vs skwer z NAZWA_2;Kajdasza;;Wrocław;;Kajdasza;Edmunda;Wrocław;;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Wrocław: ul. vs skwer Kajdasza Edmunda;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę
TC-266;Wieloznaczność - Poznań 3+ warianty;Highest;Poznań - Mickiewicza w 3 wariantach (pl., park, ul.) w różnych delegaturach;Mickiewicza;;Poznań;;Mickiewicza;Adama;Poznań;;WIELKOPOLSKIE;Poznań;Poznań;<0.5;<0.7;<0.5;<0.5;;false;InVerification;Dane z powtorzenia - Poznań: pl. w Stare Miasto, park w Jeżyce, ul. w Jeżyce;RYZYKO: Może przypisać do złej delegatury (Stare Miasto vs Jeżyce) i/lub wybrać złą cechę
TC-267;Wieloznaczność - Poznań 3+ warianty;High;Poznań - Kurpińskiego ul. vs park z różnymi NAZWA_2;Kurpińskiego;;Poznań;;Kurpińskiego;Karola;Poznań;;WIELKOPOLSKIE;Poznań;Poznań;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Poznań: ul. Karola vs park im. Karola w różnych delegaturach;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę i/lub zły wariant NAZWA_2
TC-268;Wieloznaczność - Poznań 3+ warianty;High;Poznań - Pod Lipami os. vs al.;Pod Lipami;;Poznań;;Pod Lipami;;Poznań;;WIELKOPOLSKIE;Poznań;Poznań;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Poznań: os. vs al. Pod Lipami;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę
TC-269;Wieloznaczność - Poznań 3+ warianty;High;Poznań - Nowakowskiego ul. (może być więcej wariantów);Nowakowskiego;;Poznań;;Nowakowskiego;Stanisława;Poznań;;WIELKOPOLSKIE;Poznań;Poznań;>0.9;>0.9;>0.8;>0.9;;false;Verified;Dane z powtorzenia - Poznań: ul. Nowakowskiego;RYZYKO: Może przypisać do złej delegatury jeśli są inne warianty
TC-270;Wieloznaczność - Sulechów 3+ warianty;Highest;Sulechów - Powstańców Wielkopolskich w 3 wariantach (ul., park, rondo);Powstańców Wielkopolskich;;Sulechów;;Powstańców Wielkopolskich;;Sulechów;;LUBUSKIE;zielonogórski;Sulechów;<0.5;<0.7;<0.5;<0.5;;false;InVerification;Dane z powtorzenia - Sulechów: ul., park, rondo Powstańców Wielkopolskich;RYZYKO: Może automatycznie wybrać złą cechę
TC-271;Wieloznaczność - Sulechów 3+ warianty;Highest;Sulechów - Kościuszki w 3 wariantach (ul., park, ul.) w różnych miejscowościach;Kościuszki;;Sulechów;;Kościuszki;Tadeusza;Sulechów;;LUBUSKIE;zielonogórski;Sulechów;<0.5;<0.7;<0.5;<0.5;;false;InVerification;Dane z powtorzenia - Sulechów: ul., park im. Tadeusza, ul. Tadeusza (ostatnia w innej miejscowości);RYZYKO: Może przypisać do innej miejscowości (Kocmyrzów-Luborzyca) zamiast Sulechowa
TC-272;Wieloznaczność - Sulechów 3+ warianty;High;Sulechów - Zacisze os. vs ul. w różnych miejscowościach;Zacisze;;Sulechów;;Zacisze;;Sulechów;;LUBUSKIE;zielonogórski;Sulechów;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Sulechów: os. vs ul. Zacisze (ul. w innej miejscowości);RYZYKO: Może przypisać do innej miejscowości (Kocmyrzów-Luborzyca) zamiast Sulechowa
TC-273;Wieloznaczność - Zamość;Highest;Zamość - Zamoyskiego ul. vs rondo z NAZWA_2;Zamoyskiego;;Zamość;;Zamoyskiego;Hetmana Jana;Zamość;;LUBELSKIE;Zamość;Zamość;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Zamość: ul. vs rondo Zamoyskiego Hetmana Jana;RYZYKO: Może automatycznie wybrać złą cechę
TC-274;Wieloznaczność - Zamość;Highest;Zamość - Wyszyńskiego ul. vs rondo z NAZWA_2;Wyszyńskiego;;Zamość;;Wyszyńskiego;Prymasa Stefana;Zamość;;LUBELSKIE;Zamość;Zamość;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Zamość: ul. vs rondo Wyszyńskiego Prymasa Stefana;RYZYKO: Może automatycznie wybrać złą cechę
TC-275;Wieloznaczność - Zamość;Highest;Zamość - Popiełuszki ul. vs rondo z różnymi NAZWA_2;Popiełuszki;;Zamość;;Popiełuszki;Ks. Jerzego;Zamość;;LUBELSKIE;Zamość;Zamość;<0.7;<0.7;<0.7;<0.7;;false;InVerification;Dane z powtorzenia - Zamość: ul. Ks. Jerzego vs rondo Księdza Jerzego;RYZYKO: Może automatycznie wybrać złą cechę i/lub zły wariant NAZWA_2
