TC_ID;KATEGORIA;PODKATEGORIA;PRIORYTET;OPIS;REQUEST_streetName;REQUEST_buildingNumber;REQUEST_city;REQUEST_postalCode;EXPECTED_VerificationStatus;EXPECTED_streetName;EXPECTED_buildingNumber;EXPECTED_city;EXPECTED_postalCode;EXPECTED_province;EXPECTED_district;EXPECTED_commune;EXPECTED_streetProbability;EXPECTED_cityProbability;EXPECTED_postalCodeProbability;EXPECTED_combinedProbability;EXPECTED_postOfficeLocation;EXPECTED_isMultiFamily;UWAGI;RYZYKO_BLEDU
TC-035;API Test;Ogólne;Highest;Sukces API - Lublin;Jana Pawła II;17;Lublin;20-538;Verified;Jana Pawła II;17;Lublin;20-538;LUBELSKIE;Lublin;Lublin;>0.9;>0.95;>0.9;>0.9;;false;Przykład z screenshotu - poprawiony kod pocztowy (20-538 zamiast 20538);
TC-036;API Test;Ogólne;High;Brak dopasowania - błędny kod;Jana Pawła II;17;Lublin;20538;NotVerified;null;null;null;null;null;null;null;0;0;0;0;;false;Przykład z screenshotu - błędny kod pocztowy (20538) - wszystkie null/0;
TC-037;API Test;Ogólne;High;Brak dopasowania - nieistniejąca ulica;Nieistniejąca Ulica;15;Warszawa;00-001;NotVerified;null;null;null;null;null;null;null;0;>0.9;>0.9;<0.5;;false;Ulica nie istnieje w WASKO;
TC-038;API Test;Ogólne;High;Brak dopasowania - nieistniejące miasto;Marszałkowska;15;Nieistniejące Miasto;00-001;NotVerified;null;null;null;null;null;null;null;>0.5;0;0;<0.3;;false;Miasto nie istnieje w WASKO;
TC-025;Building Number;Ogólne;Highest;Numer w zakresie;Marszałkowska;15;Warszawa;00-001;Verified;Marszałkowska;15;Warszawa;00-001;MAZOWIECKIE;Warszawa;Warszawa;>0.9;>0.95;>0.9;>0.9;;false;Numer budynku w zakresie WASKO;
TC-026;Building Number;Ogólne;High;Numer poza zakresem - ręczne dodawanie;Marszałkowska;150;Warszawa;00-001;InVerification;Marszałkowska;150;Warszawa;00-001;MAZOWIECKIE;Warszawa;Warszawa;<0.5;>0.95;>0.9;<0.7;;false;Numer 150 poza zakresem - zwraca warning ale nie zmienia statusu;
TC-027;Building Number;Ogólne;High;Numer poza zakresem - import;Marszałkowska;150;Warszawa;00-001;NotVerified;Marszałkowska;150;Warszawa;00-001;MAZOWIECKIE;Warszawa;Warszawa;<0.5;>0.95;>0.9;<0.7;;false;Dla importu - NotVerified bez warning;
TC-369;Błędna kombinacja;Cecha;High;"Wpisano ""ul. Żwirki i Wigury"", ale kod pasuje do ""pl. Żwirki i Wigury""";ul. Żwirki i Wigury;;Chełm;20-001;InVerification;Żwirki i Wigury;;Chełm;20-001;LUBELSKIE;Chełm;Chełm;<0.5;>0.9;<0.3;<0.5;;false;"Wpisano ""ul."" ale kod pasuje do ""pl."" - może przypisać do placu";RYZYKO: Może przypisać do pl. zamiast ul. jeśli kod pasuje do placu
TC-370;Błędna kombinacja;Cecha;High;"Wpisano ""ul. Dmowskiego"", ale kod pasuje do ""rondo Dmowskiego""";ul. Dmowskiego;;Lublin;20-001;InVerification;Dmowskiego;;Lublin;20-001;LUBELSKIE;Lublin;Lublin;<0.5;>0.9;<0.3;<0.5;;false;"Wpisano ""ul."" ale kod pasuje do ""rondo"" - może przypisać do ronda";RYZYKO: Może przypisać do rondo zamiast ul. jeśli kod pasuje do ronda
TC-371;Błędna kombinacja;Cecha;High;"Wpisano ""ul. Grobla"", ale kod pasuje do ""rondo Grobla""";ul. Grobla;;Gorzów Wielkopolski;66-400;InVerification;Grobla;;Gorzów Wielkopolski;66-400;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;<0.5;>0.9;<0.3;<0.5;;false;"Wpisano ""ul."" ale kod pasuje do ""rondo"" - może przypisać do ronda";RYZYKO: Może przypisać do rondo zamiast ul. jeśli kod pasuje do ronda
